epoch,phone_train_mse,phone_train_pcc,phone_test_mse,phone_test_pcc,learning rate,utt_train_mse_accuracy,utt_train_mse_completeness,utt_train_mse_fluency,utt_train_mse_prosodic,utt_train_mse_total,utt_train_pcc_accuracy,utt_train_pcc_completeness,utt_train_pcc_fluency,utt_train_pcc_prosodic,utt_train_pcc_total,utt_test_mse_accuracy,utt_test_mse_completeness,utt_test_mse_fluency,utt_test_mse_prosodic,utt_test_mse_total,utt_test_pcc_accuracy,utt_test_pcc_completeness,utt_test_pcc_fluency,utt_test_pcc_prosodic,utt_test_pcc_total,word_train_pcc_accuracy,word_train_pcc_stress,word_train_pcc_total,word_test_pcc_accuracy,word_test_pcc_stress,word_test_pcc_total
2.000000000000000000e+01,8.112958818674087524e-02,7.319366143487716636e-01,6.852128356695175171e-02,6.798461706090058732e-01,2.500000000000000052e-04,4.286606982350349426e-02,6.722921389155089855e-04,4.324506223201751709e-02,4.168378189206123352e-02,4.107562080025672913e-02,7.995171836898654627e-01,8.261205161745248382e-02,7.614440725142469502e-01,7.484109226308810481e-01,8.072135482318588684e-01,4.714209213852882385e-02,2.206732984632253647e-03,4.682417958974838257e-02,4.653456062078475952e-02,4.724958166480064392e-02,7.095514166080070240e-01,1.510850200199863325e-01,6.544556674261459150e-01,6.464528376301628132e-01,7.149425121223997870e-01,6.715094607941342053e-01,2.290929934763879239e-01,6.827024850202616513e-01,5.811160441640206287e-01,1.382629944946637268e-01,5.943357282700904021e-01
2.100000000000000000e+01,8.033669739961624146e-02,7.344244942676293464e-01,6.769417226314544678e-02,6.830607806696646911e-01,1.250000000000000026e-04,4.155950248241424561e-02,6.672757444903254509e-04,4.058636352419853210e-02,3.965888544917106628e-02,3.826028108596801758e-02,7.999679572944433659e-01,6.113474220618669158e-02,7.630864333392740617e-01,7.498727901663464479e-01,8.103039467249015804e-01,4.658919200301170349e-02,2.213462023064494133e-03,4.299513995647430420e-02,4.413164779543876648e-02,4.392167180776596069e-02,7.067200050523254617e-01,1.336465885803697906e-01,6.555185206409193110e-01,6.475236759089511018e-01,7.171479348017499866e-01,6.810156903727153654e-01,2.331473360572196007e-01,6.918483441468390449e-01,5.898029592476022875e-01,1.347924772769668877e-01,6.020752272319979115e-01
2.200000000000000000e+01,8.016677945852279663e-02,7.351837247600679914e-01,6.768573075532913208e-02,6.831736490119172389e-01,1.250000000000000026e-04,4.155633598566055298e-02,6.788548198528587818e-04,4.117242991924285889e-02,3.983584418892860413e-02,3.879203647375106812e-02,8.011928196051087969e-01,5.647524408054564737e-02,7.636864288496307829e-01,7.507821298083408035e-01,8.111265513075613942e-01,4.646603018045425415e-02,2.229924080893397331e-03,4.289480671286582947e-02,4.420884698629379272e-02,4.427650198340415955e-02,7.083260001021762786e-01,1.282010593676639887e-01,6.565692199218166047e-01,6.488299205347762832e-01,7.179072766923891846e-01,6.799428051203029177e-01,2.266072130709840537e-01,6.909428765717564591e-01,5.886051416037039186e-01,1.314915669488858352e-01,6.010640935908082572e-01
2.300000000000000000e+01,8.014395087957382202e-02,7.358957545795118405e-01,6.802860647439956665e-02,6.825126335904229125e-01,1.250000000000000026e-04,4.101463779807090759e-02,6.739919772371649742e-04,4.052237048745155334e-02,3.959143534302711487e-02,3.798758611083030701e-02,8.023354613652570189e-01,6.757547581212001997e-02,7.652757373938976482e-01,7.522790185196381874e-01,8.122726741002982420e-01,4.584780707955360413e-02,2.215626183897256851e-03,4.314926266670227051e-02,4.412962496280670166e-02,4.374378174543380737e-02,7.086699523885265917e-01,1.397123797526836908e-01,6.579275206919860119e-01,6.503758240939536694e-01,7.182941647178801015e-01,6.785545599213740342e-01,2.370416901602381832e-01,6.903844991474705761e-01,5.861598785489462449e-01,1.379727696224172517e-01,5.998535100198780778e-01
2.400000000000000000e+01,7.976225018501281738e-02,7.368806430482341963e-01,6.783782690763473511e-02,6.826828213814992719e-01,1.250000000000000026e-04,4.128162935376167297e-02,6.746051949448883533e-04,4.006499052047729492e-02,3.919468820095062256e-02,3.799592331051826477e-02,8.027412094809028842e-01,7.432605122950557142e-02,7.654040475467397409e-01,7.525850604007596756e-01,8.129721397874565270e-01,4.631902649998664856e-02,2.203627489507198334e-03,4.236301034688949585e-02,4.370281845331192017e-02,4.387254640460014343e-02,7.073493805116306543e-01,1.487211961868699361e-01,6.576341281598850896e-01,6.502817810781611474e-01,7.181658321165925729e-01,6.814356510372818754e-01,2.402040780420159616e-01,6.924339531322399877e-01,5.873067335974581082e-01,1.386674280589813013e-01,6.002351733783644061e-01
2.500000000000000000e+01,8.003255724906921387e-02,7.374167878768345119e-01,6.827875971794128418e-02,6.824196796875308113e-01,1.250000000000000026e-04,4.090730100870132446e-02,6.633122684434056282e-04,3.998644277453422546e-02,3.947622701525688171e-02,3.780701756477355957e-02,8.028338802775177863e-01,7.996753279703333606e-02,7.659549181670091134e-01,7.529552123989774470e-01,8.132715375433632321e-01,4.648532718420028687e-02,2.193118911236524582e-03,4.252409934997558594e-02,4.416285082697868347e-02,4.401507228612899780e-02,7.066496680753759918e-01,1.503469258395886965e-01,6.571753585402830833e-01,6.495137316972582342e-01,7.175018560594053074e-01,6.825133619646706062e-01,2.439152033294762489e-01,6.939374972269969355e-01,5.880224309101326208e-01,1.393925243999422359e-01,6.013074416230425046e-01
2.600000000000000000e+01,7.955016940832138062e-02,7.374148886481196596e-01,6.770648062229156494e-02,6.830229043085004337e-01,6.250000000000000130e-05,4.094453155994415283e-02,6.786517333239316940e-04,4.137304052710533142e-02,3.993635252118110657e-02,3.970050811767578125e-02,8.046289129525495687e-01,6.335979087948796773e-02,7.669728933698954920e-01,7.543585694858035984e-01,8.130998639914496229e-01,4.581700265407562256e-02,2.225287258625030518e-03,4.454428702592849731e-02,4.467198252677917480e-02,4.592848569154739380e-02,7.106310265926282232e-01,1.352703386465488877e-01,6.600134731821388767e-01,6.528423410169160723e-01,7.183767925120303488e-01,6.801022134478850178e-01,2.336912603666143062e-01,6.913723014882298123e-01,5.861193807096276576e-01,1.346018092448250381e-01,5.995352525190321691e-01
2.700000000000000000e+01,7.994724065065383911e-02,7.373695466421231748e-01,6.878952682018280029e-02,6.803703540906651526e-01,6.250000000000000130e-05,4.132479429244995117e-02,6.746472790837287903e-04,4.002837091684341431e-02,3.935587406158447266e-02,3.885717689990997314e-02,8.044396831548522586e-01,7.357278399233534161e-02,7.668630466779309263e-01,7.543074007126270297e-01,8.129004956289198613e-01,4.671141877770423889e-02,2.216692548245191574e-03,4.311940819025039673e-02,4.431265220046043396e-02,4.545682668685913086e-02,7.088420531935805124e-01,1.424454904187347770e-01,6.585854296426415511e-01,6.511878809128378576e-01,7.168070638289366636e-01,6.792929790823222236e-01,2.350037534271756379e-01,6.912453753944248769e-01,5.834251886969205048e-01,1.369951666792266209e-01,5.978714504979785183e-01
2.800000000000000000e+01,7.946646958589553833e-02,7.385098818809353594e-01,6.745935976505279541e-02,6.843636820275482702e-01,6.250000000000000130e-05,4.171877726912498474e-02,6.831350037828087807e-04,4.028565809130668640e-02,3.939073532819747925e-02,3.824914991855621338e-02,8.037750369186048571e-01,5.909868358148889084e-02,7.669833179766253339e-01,7.542535389691958914e-01,8.142435756233074029e-01,4.745587706565856934e-02,2.225872129201889038e-03,4.215274378657341003e-02,4.381700605154037476e-02,4.410325363278388977e-02,7.069484471761822153e-01,1.336011004147535097e-01,6.594823194950050205e-01,6.525612785064324184e-01,7.186123228665167728e-01,6.850042934643374437e-01,2.317541211519515698e-01,6.954095560648919649e-01,5.900806569599397200e-01,1.283497681994763273e-01,6.023714498277628060e-01
2.900000000000000000e+01,7.916760444641113281e-02,7.390574444097726126e-01,6.775180995464324951e-02,6.829223985547068221e-01,6.250000000000000130e-05,4.036419838666915894e-02,6.747461156919598579e-04,4.022161290049552917e-02,3.901754319667816162e-02,3.748605027794837952e-02,8.054706771652510033e-01,5.817061368823958634e-02,7.684539220556177996e-01,7.557103932089264120e-01,8.151215523539293573e-01,4.575312137603759766e-02,2.223749412223696709e-03,4.303549230098724365e-02,4.363461211323738098e-02,4.358930140733718872e-02,7.089723708692858839e-01,1.290953223613950374e-01,6.608533373554489332e-01,6.539065980503825370e-01,7.191379099487072990e-01,6.825942691666655460e-01,2.328834309025462068e-01,6.934113018367161763e-01,5.870330391460476527e-01,1.297681214409420747e-01,5.998188005494046182e-01
